DATE,UNE,SUBMARCA,CATEGORIA,RATE_CATEGORY_MODA
2020-1-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-1-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-1-01,BOLSO,CLOESPORT,moda,0.92
2020-1-01,BOLSO,CLOESPORT,basico,0.08
2020-1-01,BOLSO,CLOEUOMO,moda,0.92
2020-1-01,BOLSO,CLOEUOMO,basico,0.08
2020-1-01,BOLSO,CLOELEATHER,moda,0.92
2020-1-01,BOLSO,CLOELEATHER,basico,0.08
2020-1-01,BOLSO,CLOE,moda,0.92
2020-1-01,BOLSO,CLOE,basico,0.08
2020-2-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-2-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-2-01,BOLSO,CLOESPORT,moda,0.92
2020-2-01,BOLSO,CLOESPORT,basico,0.08
2020-2-01,BOLSO,CLOEUOMO,moda,0.92
2020-2-01,BOLSO,CLOEUOMO,basico,0.08
2020-2-01,BOLSO,CLOELEATHER,moda,0.92
2020-2-01,BOLSO,CLOELEATHER,basico,0.08
2020-2-01,BOLSO,CLOE,moda,0.92
2020-2-01,BOLSO,CLOE,basico,0.08
2020-3-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-3-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-3-01,BOLSO,CLOESPORT,moda,0.92
2020-3-01,BOLSO,CLOESPORT,basico,0.08
2020-3-01,BOLSO,CLOEUOMO,moda,0.92
2020-3-01,BOLSO,CLOEUOMO,basico,0.08
2020-3-01,BOLSO,CLOELEATHER,moda,0.92
2020-3-01,BOLSO,CLOELEATHER,basico,0.08
2020-3-01,BOLSO,CLOE,moda,0.92
2020-3-01,BOLSO,CLOE,basico,0.08
2020-4-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-4-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-4-01,BOLSO,CLOESPORT,moda,0.92
2020-4-01,BOLSO,CLOESPORT,basico,0.08
2020-4-01,BOLSO,CLOEUOMO,moda,0.92
2020-4-01,BOLSO,CLOEUOMO,basico,0.08
2020-4-01,BOLSO,CLOELEATHER,moda,0.92
2020-4-01,BOLSO,CLOELEATHER,basico,0.08
2020-4-01,BOLSO,CLOE,moda,0.92
2020-4-01,BOLSO,CLOE,basico,0.08
2020-5-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
2020-5-01,BOLSO,CLOEAGATHARUIZDELAPRADA,basico,0.08
2020-5-01,BOLSO,CLOESPORT,moda,0.92
2020-5-01,BOLSO,CLOESPORT,basico,0.08
2020-5-01,BOLSO,CLOEUOMO,moda,0.92
2020-5-01,BOLSO,CLOEUOMO,basico,0.08
2020-5-01,BOLSO,CLOELEATHER,moda,0.92
2020-5-01,BOLSO,CLOELEATHER,basico,0.08
2020-5-01,BOLSO,CLOE,moda,0.92
2020-5-01,BOLSO,CLOE,basico,0.08
2020-6-01,BOLSO,CLOEAGATHARUIZDELAPRADA,moda,0.92
