DATE,UNE,SUBMARCA,MERCADO,VENTA_PRECIOLISTAOTB
2020-10-01,ACCESORIOS,CLOEAGATHARUIZDELAPRADA,M1,0.0
2020-10-01,ACCESORIOS,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-10-01,ACCESORIOS,CLOE,M1,392.62353450999996
2020-10-01,ACCESORIOS,CLOE,M2,0.0
2020-10-01,ACCESORIOS,CLOEGIRLS,M1,0.0
2020-10-01,ACCESORIOS,CLOEGIRLS,M2,0.0
2020-10-01,ACCESORIOS,CLOELEATHER,M1,14.018080710399998
2020-10-01,ACCESORIOS,CLOELEATHER,M2,0.0
2020-10-01,ACCESORIOS,CLOEMOM&BABY,M1,0.0
2020-10-01,ACCESORIOS,CLOEMOM&BABY,M2,0.0
2020-10-01,ACCESORIOS,CLOESEXTOSENTIDO,M1,0.0
2020-10-01,ACCESORIOS,CLOESEXTOSENTIDO,M2,0.0
2020-10-01,ACCESORIOS,CLOEUOMO,M1,0.0
2020-10-01,ACCESORIOS,CLOEUOMO,M2,0.0
2020-10-01,ACCESORIOS,LUCENTZZA,M1,0.0
2020-10-01,ACCESORIOS,LUCENTZZA,M2,0.0
2020-10-01,ACCESORIOS,X,M1,0.0
2020-10-01,ACCESORIOS,X,M2,0.0
2020-10-01,ACCESORIOS,Y,M1,0.0
2020-10-01,ACCESORIOS,Y,M2,0.0
2020-10-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,M1,16.428193643100002
2020-10-01,BILLETERA,CLOEAGATHARUIZDELAPRADA,M2,4.633496
2020-10-01,BILLETERA,CLOE,M1,7296.839676006001
2020-10-01,BILLETERA,CLOE,M2,256.774958
2020-10-01,BILLETERA,CLOEGIRLS,M1,0.0
2020-10-01,BILLETERA,CLOEGIRLS,M2,0.0
2020-10-01,BILLETERA,CLOELEATHER,M1,16.7348549774
2020-10-01,BILLETERA,CLOELEATHER,M2,0.603
2020-10-01,BILLETERA,CLOEMOM&BABY,M1,0.0
2020-10-01,BILLETERA,CLOEMOM&BABY,M2,0.0
2020-10-01,BILLETERA,CLOESEXTOSENTIDO,M1,0.0
2020-10-01,BILLETERA,CLOESEXTOSENTIDO,M2,0.0
2020-10-01,BILLETERA,CLOEUOMO,M1,4.512500045189998
2020-10-01,BILLETERA,CLOEUOMO,M2,0.0
2020-10-01,BILLETERA,LUCENTZZA,M1,752.0
2020-10-01,BILLETERA,LUCENTZZA,M2,0.0
2020-10-01,BILLETERA,X,M1,0.0
2020-10-01,BILLETERA,X,M2,0.0
2020-10-01,BILLETERA,Y,M1,0.0
2020-10-01,BILLETERA,Y,M2,0.0
2020-10-01,BOLSO,CLOEAGATHARUIZDELAPRADA,M1,36.12210779519999
2020-10-01,BOLSO,CLOEAGATHARUIZDELAPRADA,M2,38.376
2020-10-01,BOLSO,CLOE,M1,24768.31844822
2020-10-01,BOLSO,CLOE,M2,1120.0
2020-10-01,BOLSO,CLOEGIRLS,M1,790.0824345867
2020-10-01,BOLSO,CLOEGIRLS,M2,11.7172971
2020-10-01,BOLSO,CLOELEATHER,M1,28.64673883269999
2020-10-01,BOLSO,CLOELEATHER,M2,0.0
2020-10-01,BOLSO,CLOEMOM&BABY,M1,1762.3213135027
2020-10-01,BOLSO,CLOEMOM&BABY,M2,68.0
2020-10-01,BOLSO,CLOESEXTOSENTIDO,M1,0.0
2020-10-01,BOLSO,CLOESEXTOSENTIDO,M2,0.74874
2020-10-01,BOLSO,CLOEUOMO,M1,0.0
2020-10-01,BOLSO,CLOEUOMO,M2,0.0
2020-10-01,BOLSO,LUCENTZZA,M1,1296.0
2020-10-01,BOLSO,LUCENTZZA,M2,0.0
2020-10-01,BOLSO,X,M1,0.0
2020-10-01,BOLSO,X,M2,0.0
2020-10-01,BOLSO,Y,M1,0.0
2020-10-01,BOLSO,Y,M2,0.0
2020-10-01,CALZADO,CLOEAGATHARUIZDELAPRADA,M1,11.884694127800001
2020-10-01,CALZADO,CLOEAGATHARUIZDELAPRADA,M2,0.43909
2020-10-01,CALZADO,CLOE,M1,8630.806570747
2020-10-01,CALZADO,CLOE,M2,230.5475792
2020-10-01,CALZADO,CLOEGIRLS,M1,0.0
2020-10-01,CALZADO,CLOEGIRLS,M2,0.0
2020-10-01,CALZADO,CLOELEATHER,M1,0.0
2020-10-01,CALZADO,CLOELEATHER,M2,0.0
2020-10-01,CALZADO,CLOEMOM&BABY,M1,0.0
2020-10-01,CALZADO,CLOEMOM&BABY,M2,0.0
2020-10-01,CALZADO,CLOESEXTOSENTIDO,M1,0.0
2020-10-01,CALZADO,CLOESEXTOSENTIDO,M2,0.0
2020-10-01,CALZADO,CLOEUOMO,M1,0.0
2020-10-01,CALZADO,CLOEUOMO,M2,0.0
2020-10-01,CALZADO,LUCENTZZA,M1,0.0
2020-10-01,CALZADO,LUCENTZZA,M2,0.0
2020-10-01,CALZADO,X,M1,0.0
2020-10-01,CALZADO,X,M2,0.0
2020-10-01,CALZADO,Y,M1,0.0
2020-10-01,CALZADO,Y,M2,0.0
2020-10-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M1,8.758306258000001
2020-10-01,COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M2,55.0
2020-10-01,COSMETIQUERA,CLOE,M1,1150.1112351350998
2020-10-01,COSMETIQUERA,CLOE,M2,0.167414
2020-10-01,COSMETIQUERA,CLOEGIRLS,M1,0.0
2020-10-01,COSMETIQUERA,CLOEGIRLS,M2,0.0
2020-10-01,COSMETIQUERA,CLOELEATHER,M1,0.0
2020-10-01,COSMETIQUERA,CLOELEATHER,M2,0.0
2020-10-01,COSMETIQUERA,CLOEMOM&BABY,M1,0.0
2020-10-01,COSMETIQUERA,CLOEMOM&BABY,M2,0.0
2020-10-01,COSMETIQUERA,CLOESEXTOSENTIDO,M1,0.0
2020-10-01,COSMETIQUERA,CLOESEXTOSENTIDO,M2,0.0
2020-10-01,COSMETIQUERA,CLOEUOMO,M1,0.0
2020-10-01,COSMETIQUERA,CLOEUOMO,M2,0.0
2020-10-01,COSMETIQUERA,LUCENTZZA,M1,0.0
2020-10-01,COSMETIQUERA,LUCENTZZA,M2,0.0
2020-10-01,COSMETIQUERA,X,M1,0.0
2020-10-01,COSMETIQUERA,X,M2,0.0
2020-10-01,COSMETIQUERA,Y,M1,0.0
2020-10-01,COSMETIQUERA,Y,M2,0.0
2020-10-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M1,24.2687711128
2020-10-01,EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M2,4.2134998999999995
2020-10-01,EQUIPAJE,CLOE,M1,10367.578980826001
2020-10-01,EQUIPAJE,CLOE,M2,136.990899
2020-10-01,EQUIPAJE,CLOEGIRLS,M1,0.0
2020-10-01,EQUIPAJE,CLOEGIRLS,M2,0.0
2020-10-01,EQUIPAJE,CLOELEATHER,M1,0.0
2020-10-01,EQUIPAJE,CLOELEATHER,M2,0.0
2020-10-01,EQUIPAJE,CLOEMOM&BABY,M1,0.0
2020-10-01,EQUIPAJE,CLOEMOM&BABY,M2,0.0
2020-10-01,EQUIPAJE,CLOESEXTOSENTIDO,M1,0.0
2020-10-01,EQUIPAJE,CLOESEXTOSENTIDO,M2,0.0
2020-10-01,EQUIPAJE,CLOEUOMO,M1,79.98064266950001
2020-10-01,EQUIPAJE,CLOEUOMO,M2,59.0
2020-10-01,EQUIPAJE,LUCENTZZA,M1,0.0
2020-10-01,EQUIPAJE,LUCENTZZA,M2,0.0
2020-10-01,EQUIPAJE,X,M1,0.0
2020-10-01,EQUIPAJE,X,M2,0.0
2020-10-01,EQUIPAJE,Y,M1,0.0
2020-10-01,EQUIPAJE,Y,M2,0.0
2020-10-01,ESCOLARES,CLOEAGATHARUIZDELAPRADA,M1,0.0
2020-10-01,ESCOLARES,CLOEAGATHARUIZDELAPRADA,M2,0.0
2020-10-01,ESCOLARES,CLOE,M1,-9.4187408694
2020-10-01,ESCOLARES,CLOE,M2,9.110940000000001
2020-10-01,ESCOLARES,CLOEGIRLS,M1,-26.84210526
2020-10-01,ESCOLARES,CLOEGIRLS,M2,51.646315900000005
2020-10-01,ESCOLARES,CLOELEATHER,M1,0.0
2020-10-01,ESCOLARES,CLOELEATHER,M2,0.0
2020-10-01,ESCOLARES,CLOEMOM&BABY,M1,0.0
2020-10-01,ESCOLARES,CLOEMOM&BABY,M2,0.0
2020-10-01,ESCOLARES,CLOESEXTOSENTIDO,M1,0.0
2020-10-01,ESCOLARES,CLOESEXTOSENTIDO,M2,0.0
2020-10-01,ESCOLARES,CLOEUOMO,M1,0.0
2020-10-01,ESCOLARES,CLOEUOMO,M2,0.0
2020-10-01,ESCOLARES,LUCENTZZA,M1,0.0
2020-10-01,ESCOLARES,LUCENTZZA,M2,0.0
2020-10-01,ESCOLARES,X,M1,0.0
2020-10-01,ESCOLARES,X,M2,0.0
2020-10-01,ESCOLARES,Y,M1,0.0
2020-10-01,ESCOLARES,Y,M2,0.0
2020-10-01,OTROS,CLOEAGATHARUIZDELAPRADA,M1,0.0
2020-10-01,OTROS,CLOEAGATHARUIZDELAPRADA,M2,0.0
