UNE,SUBMARCA,MERCADO,CATEGORIA,TOTALPRICE
ACCESORIOS,CLOE,M1,moda,878.372737
ACCESORIOS,CLOE,M2,moda,479.1196570000001
BILLETERA,CLOE,M1,basico,893.411
BILLETERA,CLOE,M1,moda,42695.77900000002
BILLETERA,CLOE,M2,moda,12473.575944000002
BILLETERA,CLOEAGATHARUIZDELAPRADA,M1,moda,140.481
BILLETERA,CLOEAGATHARUIZDELAPRADA,M2,moda,983.212
BILLETERA,CLOELEATHER,M1,moda,3.591
BILLETERA,CLOELEATHER,M2,moda,202.306
BILLETERA,CLOEUOMO,M1,moda,332.88
BILLETERA,LUCENTZZA,M1,moda,3713.706
BILLETERA,LUCENTZZA,M2,moda,1.062
BOLSO,CLOE,M1,basico,33.321
BOLSO,CLOE,M1,moda,115560.61699999997
BOLSO,CLOE,M2,moda,37374.61499999994
BOLSO,CLOEAGATHARUIZDELAPRADA,M2,moda,3435.087000000001
BOLSO,CLOEGIRLS,M1,moda,6004.340999999998
BOLSO,CLOEGIRLS,M2,moda,1072.51
BOLSO,CLOELEATHER,M1,moda,36.662
BOLSO,CLOELEATHER,M2,moda,189.813
BOLSO,CLOEMOM&BABY,M1,moda,6408.345
BOLSO,CLOEMOM&BABY,M2,moda,10065.265
BOLSO,LUCENTZZA,M1,moda,10482.446999999998
BOLSO,LUCENTZZA,M2,moda,1.3239999999999998
CALZADO,CLOE,M1,moda,6344.865000000001
CALZADO,CLOE,M2,moda,14989.02399999999
CALZADO,CLOEAGATHARUIZDELAPRADA,M1,moda,237.70800000000003
CALZADO,CLOEAGATHARUIZDELAPRADA,M2,moda,376.371
COSMETIQUERA,CLOE,M1,moda,5890.89
COSMETIQUERA,CLOE,M2,moda,482.93600000000004
COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M1,moda,1899.9059999999997
COSMETIQUERA,CLOEAGATHARUIZDELAPRADA,M2,moda,48.841
EQUIPAJE,CLOE,M1,basico,41181.225
EQUIPAJE,CLOE,M1,moda,50574.70799999998
EQUIPAJE,CLOE,M2,basico,3016.574
EQUIPAJE,CLOE,M2,moda,29677.553
EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M1,moda,17346.372
EQUIPAJE,CLOEAGATHARUIZDELAPRADA,M2,moda,1967.2210000000007
EQUIPAJE,CLOELEATHER,M2,moda,6.282
EQUIPAJE,CLOEUOMO,M1,moda,22989.693
EQUIPAJE,CLOEUOMO,M2,moda,1447.502
ESCOLARES,CLOEGIRLS,M1,moda,23777.591
ESCOLARES,CLOEGIRLS,M2,moda,6336.771
ESCOLARES,CLOESPORT,M1,moda,3729.534
ESCOLARES,CLOESPORT,M2,moda,4315.857
M.PRIMAEINSUMOS,CLOE,M1,moda,0.057275400000000004
MASCADA,CLOE,M2,moda,63.9
PROMOCIONAL,CLOE,M1,moda,1.52536
PROMOCIONAL,CLOE,M2,moda,0.004830000000000001
